reeig, coshP, expT
7.100452275425763737e-01,7.169262265365128339e-01,7.416535243947757206e-01
6.877850758858518043e-01,5.046579709605591990e-01,7.063022161025622747e-01
6.520165155201651519e-01,6.949568679495686796e-01,7.223807417238075068e-01
7.321233776622821932e-01,6.834732450632936551e-01,7.431955144210491415e-01
6.982535090538948275e-01,6.481124325868781177e-01,7.255401978642094241e-01
7.085854157036554080e-01,7.084188713960717365e-01,7.250936953349467196e-01
6.861228439052527994e-01,4.911300076289004668e-01,7.187553107691544430e-01
6.707586817075867902e-01,6.575278330752782896e-01,7.184140676841406226e-01
7.039103369032440050e-01,7.206373235851664116e-01,7.415659043638884729e-01
6.769866780956462771e-01,6.868906032358298441e-01,7.097771348976749106e-01
6.924011610517442072e-01,7.162453208980250619e-01,7.472559842655281948e-01
6.880325499755006735e-01,6.517456536975357873e-01,7.102841300262359159e-01
6.746958637469586684e-01,6.624198186241981867e-01,7.202020202020201767e-01
7.102487867313742598e-01,7.153048807093924655e-01,7.486727980568308460e-01
6.928426015214829148e-01,6.814171934711954481e-01,7.249383906568092062e-01
6.798185686706365027e-01,7.271868287244744877e-01,7.570498092104667176e-01
6.871276259233760619e-01,6.471038088681316802e-01,7.171805320382809157e-01
7.057619995576199790e-01,6.477401754774017029e-01,7.075610115756101326e-01
6.975640087074144180e-01,7.057617533125506437e-01,7.506242091330885824e-01
6.933194042644380550e-01,6.387085253044751942e-01,7.408050287510268284e-01
6.892118942092431144e-01,7.200560132691627979e-01,7.243136561800400663e-01
5.566994771412090426e-01,6.733348218992860623e-01,7.107517878297329172e-01
6.856632013566319461e-01,6.367949568679496242e-01,7.155975816559758673e-01
7.119856637949006917e-01,7.274672623520684889e-01,7.394145039537285413e-01
6.748116004143005497e-01,6.479767134540519447e-01,6.928283152969748615e-01
