reeig, coshP, expT
8.159747995003349130e-01,7.907704204479917287e-01,8.280293488577790129e-01
8.312474308627388897e-01,7.930755449156288162e-01,8.189892529272007060e-01
8.272034857342518421e-01,7.940814485301403991e-01,8.212466037037229327e-01
8.248366268322528949e-01,7.541253352078939320e-01,8.337082454633029105e-01
8.108641646703931283e-01,7.822509094135392527e-01,8.146792653713068599e-01
8.248120436870730598e-01,7.853030706643322478e-01,8.372454798672732679e-01
8.174510021897452017e-01,7.914661985558539836e-01,8.205973066392970861e-01
8.274420739180090578e-01,8.062820399159336127e-01,8.404640344609992653e-01
8.207047827332135670e-01,7.721862063578848190e-01,8.178721133067770044e-01
8.304498269896193330e-01,8.112190577588500595e-01,8.219323928666488754e-01
8.178640610977632175e-01,8.157032423918749720e-01,8.339596388549084249e-01
8.276590409071283849e-01,8.091534967412352675e-01,8.297789830999242611e-01
8.148438355592872995e-01,7.851480811251975167e-01,8.111698382815393238e-01
8.109062980030722345e-01,7.973743133119841620e-01,8.230349657632325400e-01
8.218880312305918423e-01,8.059400230680507926e-01,8.345754591429331848e-01
8.120501527185453039e-01,7.925795080419697491e-01,8.251223946681700561e-01
8.033275336540823819e-01,7.686031390656224982e-01,8.404303999710447393e-01
8.034202854714137532e-01,8.005898212805014902e-01,8.057957372244501926e-01
8.222942539508969473e-01,7.899815147491473510e-01,8.326498997630763510e-01
8.153890515482211665e-01,7.759737379114541866e-01,8.339100346020760224e-01
8.210813662684690595e-01,7.994796448550273160e-01,8.353057862354167362e-01
8.038639824406739187e-01,7.848232821358676059e-01,8.080133814887682231e-01
8.228893420181171425e-01,7.740113583620595872e-01,8.303872690388155453e-01
8.216329506105339853e-01,7.906467234241973951e-01,8.411778489416543714e-01
8.200470233342205262e-01,7.849569692130246024e-01,8.486159169550172576e-01
