reeig, expT
6.563364692861095584e-01,6.671483326159585170e-01
6.559554791495376680e-01,6.521689645097066279e-01
6.293112827766292883e-01,6.422587313676422216e-01
6.860641989392981532e-01,6.604981970786563128e-01
6.724274916983002948e-01,6.812274631771233491e-01
6.554346266576482893e-01,6.460523888581441998e-01
6.705732263347081723e-01,6.788036720188629358e-01
6.422519312370797984e-01,6.595650636492220720e-01
6.235102980422515540e-01,6.555605353759651477e-01
6.474264730848369176e-01,6.640825008997752743e-01
6.676504949886244988e-01,6.408975383795527669e-01
6.495596838965257414e-01,6.530013522053177422e-01
6.528805353062778760e-01,6.628835273637253556e-01
6.696732332389431219e-01,6.481230604165393316e-01
6.636945789391479611e-01,6.719020569201203941e-01
6.441103527434463016e-01,6.624648998749718132e-01
6.542125612399518619e-01,6.509118892142939927e-01
6.451147862038950631e-01,6.551517789141552139e-01
6.833335030999381221e-01,7.018244817025554028e-01
6.618279697675524265e-01,6.702171004828227918e-01
6.548760991207034365e-01,6.532825022033654783e-01
6.557363403480399588e-01,6.847051309057057278e-01
6.355062017190730161e-01,6.498952779893374387e-01
6.703573926565757901e-01,6.675197438561466523e-01
6.427705607127578435e-01,6.641376757957069277e-01
