reeig, expT
8.166162172078517134e-01,8.208126949183636167e-01
8.688282977155490361e-01,8.684598378776713368e-01
8.562111801242235920e-01,8.062888198757763858e-01
8.425867854118975764e-01,8.029492928596067003e-01
8.414802389201561095e-01,8.442786147647639572e-01
8.410383415886992786e-01,8.199412951751972045e-01
8.733726357160402909e-01,8.803119626627364802e-01
8.552018633540372505e-01,8.524068322981366297e-01
8.348333281068707201e-01,7.974771864906393670e-01
8.441061658331634465e-01,8.631696113628168909e-01
8.401440102733443993e-01,8.181067694001100676e-01
8.479796118889707524e-01,8.685519528371408171e-01
8.502329192546583814e-01,8.340062111801243017e-01
8.288673210197874397e-01,8.004797892690269645e-01
8.653722545346230755e-01,8.144527881856804541e-01
8.307879288203998680e-01,8.129700972298661288e-01
8.754912797838368954e-01,8.416236796855809388e-01
8.476708074534160531e-01,8.180900621118012417e-01
8.141208567217536052e-01,8.376085797610461903e-01
8.658817627416244278e-01,8.586781005534043221e-01
8.295725554944046731e-01,7.813703907539901738e-01
8.603844264308524448e-01,8.143576516826331879e-01
8.728260869565217517e-01,8.457298136645963194e-01
8.363150302612185616e-01,8.413716328514534437e-01
8.676611221722294598e-01,8.556288898991957215e-01
