reeig, expT
6.945815319357206974e-01,6.947588393108010685e-01
6.869552003671794971e-01,6.905296193612810995e-01
6.604033031040330570e-01,6.917901644179016429e-01
7.213281958295557628e-01,7.355504676114243967e-01
6.611503982285081849e-01,7.118414943390836136e-01
7.259836310737689535e-01,7.340717930590676676e-01
6.853004112163444406e-01,7.018129492833174998e-01
6.717171717171717127e-01,7.104880926048808831e-01
7.116856797940473989e-01,7.300640935513742491e-01
6.911836137004891967e-01,7.053430479659987817e-01
7.111175689516092691e-01,7.521469487270122656e-01
6.945065713984457378e-01,7.002456133822079209e-01
6.618115461181155457e-01,6.724212932242128460e-01
6.924545842403556639e-01,7.106178579566665432e-01
6.993839065680917955e-01,6.839726418800671226e-01
6.967381107757566472e-01,7.551815672839001792e-01
6.968336961712843225e-01,6.964113155821843870e-01
7.009400575094004715e-01,7.079591535795914936e-01
7.321464067370953011e-01,7.523380571218020174e-01
6.605557341333618826e-01,7.108075288403157277e-01
7.078133072300623052e-01,6.835737462725797187e-01
6.733373028425406748e-01,7.146834626525004897e-01
7.043611295436112973e-01,6.987429034874290679e-01
7.066380702120129698e-01,6.935769486233461789e-01
6.415354119789992149e-01,6.949444623022251744e-01
