reeig, expT
7.863553852359822516e-01,6.847014925373133831e-01
8.188405797101450112e-01,8.161231884057971175e-01
7.552313883299799357e-01,6.884808853118711269e-01
7.820217824819757357e-01,7.766528608682312651e-01
7.900411734431291855e-01,8.029850746268656358e-01
7.410246066962484779e-01,7.593283582089551675e-01
8.115942028985507761e-01,7.940821256038648190e-01
7.444668008048289654e-01,6.768108651911468598e-01
7.352354655622027613e-01,7.080840619726951335e-01
7.886258363355636014e-01,7.616057642820380780e-01
7.376462283178701895e-01,7.891791044776119701e-01
7.833635265700482631e-01,7.740036231884057649e-01
7.407444668008048572e-01,7.621227364185110265e-01
7.481975763153857484e-01,7.613130848289615393e-01
7.596242923314462381e-01,7.530108080288213657e-01
7.691105284388866092e-01,6.828862444534086196e-01
7.984601449275362528e-01,6.920289855072463414e-01
7.163983903420523269e-01,6.877766599597585628e-01
7.590888173032672714e-01,7.230403436109832382e-01
7.578744209984560332e-01,6.545290787442099578e-01
7.762202501008470534e-01,7.596813231141589240e-01
8.051026570048309683e-01,7.998188405797101996e-01
7.303319919517102798e-01,7.061871227364184822e-01
7.676023930050621669e-01,7.783402362325511081e-01
7.932063818836849745e-01,7.946731857951621070e-01
