reeig, coshP, expT
7.125974025974025627e-01,7.027705627705627123e-01,7.116450216450216359e-01
7.154972677595627939e-01,7.046557377049180726e-01,6.950382513661201855e-01
6.855013550135501399e-01,7.068202348690153514e-01,6.819783197831978949e-01
6.683343295995010092e-01,6.545252141972259796e-01,6.764300751098059061e-01
7.157345342829213308e-01,7.322475911185588604e-01,7.286517246194665898e-01
7.107359307359306655e-01,7.018614718614719639e-01,6.884415584415584100e-01
7.106885245901639614e-01,6.996284153005464246e-01,6.989945355191256038e-01
6.841463414634145757e-01,6.710027100271003242e-01,6.642276422764227251e-01
6.665800348260000341e-01,6.634742833380981031e-01,6.722457572056033115e-01
7.357038123167155552e-01,7.312351626867756860e-01,7.276392961876833043e-01
6.854978354978354949e-01,6.901731601731602161e-01,6.759740259740260049e-01
7.061639344262294893e-01,7.010710382513660743e-01,7.019016393442623070e-01
6.842366757000903910e-01,6.671635049683830587e-01,6.647244805781391541e-01
6.538321594718923269e-01,6.702662196463687883e-01,6.768329131689061473e-01
7.186321742773356114e-01,7.272029046222594495e-01,7.124703253735511499e-01
6.892207792207791783e-01,6.965367965367965652e-01,6.887445887445886594e-01
6.786229508196721660e-01,7.077158469945354913e-01,6.568524590163934418e-01
6.600271002710027535e-01,6.939024390243901941e-01,6.786359530261969475e-01
6.788947509767739863e-01,6.601259626963293936e-01,6.607540435411631830e-01
7.156821672950705038e-01,6.969696969696970168e-01,6.990469208211144148e-01
6.968398268398268147e-01,7.089177489177489466e-01,7.162770562770561789e-01
7.071912568306011337e-01,5.000000000000000000e-01,6.867322404371585254e-01
6.657181571815717902e-01,6.971544715447154372e-01,6.771906052393856790e-01
6.643102806005318772e-01,6.764300751098059061e-01,6.621055002555639168e-01
7.090490155006283768e-01,6.849252897639994675e-01,6.851522133780199031e-01
