reeig, coshP, expT
8.129471656576774397e-01,7.780223812144559936e-01,7.891671252981105056e-01
8.316445590763940077e-01,7.847273397199705514e-01,8.358818472119873277e-01
8.278726708074534146e-01,7.901397515527950333e-01,8.282608695652173836e-01
8.017341402991626786e-01,7.322195741478252362e-01,8.121452538492897055e-01
8.406336714377538044e-01,7.879348456582062621e-01,8.246194365623089606e-01
7.822417904971564750e-01,7.668547055586131256e-01,7.879746835443037778e-01
8.461680176860721936e-01,8.280520756570867169e-01,8.485937116187669549e-01
8.319875776397516187e-01,7.843944099378882262e-01,8.430900621118012639e-01
8.136661544733293505e-01,7.764981655116184323e-01,8.358995264824861104e-01
8.291109473717215295e-01,7.751422703685704185e-01,8.331791744399329458e-01
8.193450742982939516e-01,7.529811043845165974e-01,8.308337919647771352e-01
8.255956767379022399e-01,7.902235323016457702e-01,8.268238761974944229e-01
8.268633540372670732e-01,7.778726708074534812e-01,8.229037267080745455e-01
8.149205055034651757e-01,7.961836369908119604e-01,8.031374455141271351e-01
8.513098280213836633e-01,7.855597535547995669e-01,8.274178124069166973e-01
8.009310218308567375e-01,7.526371308016877038e-01,8.036828104934874428e-01
8.189633996561040963e-01,8.252272169000245405e-01,8.473962171456643766e-01
8.106366459627329935e-01,7.949534161490683370e-01,8.187111801242236142e-01
8.211530621844522759e-01,7.777133180720624539e-01,8.180720624666812935e-01
8.148760719268817176e-01,7.504899117375014583e-01,8.232633608729051922e-01
8.115024766097963527e-01,7.710741148413136070e-01,8.416574940377912206e-01
8.413166298206828930e-01,8.006018177352002274e-01,8.522169000245639614e-01
8.031055900621117960e-01,7.976708074534161197e-01,8.201863354037266518e-01
8.143482078459656215e-01,7.913935839944807871e-01,8.181112609363729860e-01
8.072491259974603484e-01,7.944565507078245048e-01,8.290247229059212186e-01
