reeig, coshP, expT
6.540903055351623419e-01,6.834468553715637995e-01,7.127122023728598155e-01
5.889901940717860995e-01,5.813985077126323509e-01,7.096217181772510596e-01
6.540367175403671851e-01,6.667145911671459313e-01,6.903192509031924606e-01
7.040945695017477579e-01,7.169635801242115747e-01,7.296489641764560830e-01
6.819350691096111028e-01,6.584288724597306963e-01,7.097485624486588041e-01
6.854012018381052673e-01,7.028362382286030829e-01,7.259360469858878728e-01
6.335882502527461213e-01,5.865204150618065215e-01,6.876200931594191879e-01
5.850364963503649207e-01,6.239806827398068911e-01,6.833185873331858451e-01
6.745143289327599767e-01,6.959731844604650774e-01,7.385006133006239981e-01
6.475141969356048577e-01,6.159559269973927664e-01,6.868745312332583675e-01
6.600536114056791970e-01,7.198696422582955279e-01,7.248200868296308386e-01
6.019655272934769652e-01,6.112095218602112690e-01,6.675281742118353012e-01
6.379598908795989232e-01,6.464978249649782072e-01,7.020423210204231879e-01
6.507955939319600702e-01,6.972725091025449018e-01,7.266757894124434847e-01
6.201310761098610680e-01,6.525608057430622999e-01,6.977588485303046761e-01
6.767561927291514401e-01,7.213107603484061325e-01,7.211600774034496730e-01
5.556425953147386965e-01,5.664855578090790544e-01,6.294990355333097698e-01
5.826550173265501176e-01,6.887782938877828887e-01,6.910971024109711092e-01
6.639573162158625141e-01,7.125929041360218319e-01,7.135910327206791415e-01
6.072020429301046018e-01,6.452944748026715471e-01,6.873263330833243590e-01
5.948957002111827652e-01,7.184177611006878905e-01,6.923852996891173284e-01
6.002760049370771123e-01,6.064225418504115561e-01,6.835259165534736114e-01
5.876023003760230123e-01,6.604549141045491512e-01,6.635847526358475967e-01
6.576346231231304795e-01,7.073143977775731006e-01,7.130686363393952121e-01
6.197203471552554799e-01,6.490374656237722917e-01,7.102789385335190886e-01
