reeig, coshP, expT
8.161778207671358532e-01,8.010611417295343539e-01,8.153540975381408096e-01
8.255145384084404681e-01,7.963368950085703002e-01,8.183830011659682935e-01
7.978740880194834517e-01,7.591615255041641586e-01,8.138151684719404644e-01
8.113306777057460728e-01,8.010010674581478085e-01,8.132104454685100681e-01
7.994188625676514892e-01,7.977553012155087497e-01,8.153225090941353947e-01
8.082897333309194687e-01,8.066901326491817681e-01,8.219736253391231040e-01
7.959633198294738810e-01,8.018138432225190293e-01,8.329485552076897337e-01
8.102207005887782643e-01,7.998349439122203197e-01,8.117395816493093719e-01
8.034900674321122649e-01,7.852430419953657648e-01,7.864641099742248898e-01
8.222872859551060287e-01,7.966462603140804788e-01,7.982654600301659631e-01
8.197533226951914109e-01,7.761645274001122141e-01,8.118173894827225290e-01
8.050984609736739905e-01,8.031646600465870423e-01,8.231140916694027476e-01
8.147291046293929639e-01,7.704038528732275459e-01,8.192375086700077746e-01
7.909109844046968707e-01,8.002876929886224566e-01,8.216329506105339853e-01
8.212669683257918241e-01,7.877517522846242404e-01,8.347307248691331338e-01
8.202188491668369608e-01,7.766300538717577640e-01,8.081345578403709151e-01
8.182201275584728428e-01,7.920724503170863962e-01,7.931660302531262641e-01
8.106092212377380424e-01,7.877399571323525640e-01,8.105518557727910967e-01
7.779088234528366286e-01,8.073589523288812186e-01,8.158582623864198968e-01
8.194259604294206190e-01,7.970676958566231818e-01,8.179842072575636003e-01
8.066810807455664367e-01,7.880276936525465459e-01,8.098298500746134998e-01
7.769924224993084438e-01,7.769006445141325434e-01,8.115552361279514404e-01
7.919836977778704767e-01,7.590819961095784940e-01,8.080877483012000040e-01
8.230623031060428918e-01,7.837069436850738757e-01,8.163607487828373754e-01
8.180063880755922279e-01,7.824727175938248624e-01,8.180063880755922279e-01
