reeig, coshP, expT
8.556935817805382261e-01,8.585921325051759645e-01,8.608695652173913304e-01
8.299798792756538646e-01,8.429668922626669669e-01,8.324035119809767291e-01
8.357521186440677319e-01,8.215042372881355970e-01,8.090042372881356414e-01
8.761363636363637131e-01,8.644230769230769607e-01,8.627622377622377048e-01
8.742424242424242653e-01,8.738095238095238138e-01,8.688311688311688430e-01
8.703933747412008204e-01,8.538302277432712195e-01,8.612836438923394677e-01
8.270074995427108000e-01,8.288823852204133535e-01,8.500091457837937181e-01
8.375529661016949401e-01,8.058792372881355970e-01,8.420021186440678207e-01
8.702797202797203369e-01,8.719405594405593707e-01,9.006993006993007089e-01
8.878787878787879340e-01,8.829004329004328522e-01,8.919913419913420016e-01
8.755693581780538137e-01,8.803312629399585587e-01,8.755693581780538137e-01
8.370221327967806157e-01,8.169928662886409843e-01,8.305286263032741756e-01
8.486758474576270306e-01,8.165783898305085664e-01,8.134533898305085220e-01
8.475524475524476298e-01,8.834790209790209792e-01,8.702797202797203369e-01
8.742424242424242653e-01,8.790043290043290103e-01,8.837662337662337553e-01
8.755693581780538137e-01,8.304347826086957429e-01,8.759834368530020621e-01
8.199652460215840488e-01,8.164441192610205622e-01,8.500091457837937181e-01
8.473516949152541944e-01,7.933792372881356414e-01,8.335275423728814026e-01
8.970279720279720204e-01,8.950174825174825877e-01,9.065559440559440851e-01
8.413419913419912799e-01,8.690476190476190688e-01,9.017316017316017174e-01
8.474120082815734811e-01,8.320910973084886253e-01,8.573498964803312195e-01
8.205139930492043598e-01,8.464880190232302315e-01,8.335010060362173512e-01
8.040783898305084998e-01,7.817796610169491789e-01,8.366525423728814470e-01
8.605769230769231282e-01,8.702797202797203369e-01,8.777972027972027469e-01
8.744588744588743801e-01,8.829004329004328522e-01,8.926406926406926789e-01
