reeig, coshP, expT
6.414509418106539851e-01,6.364959314599601958e-01,7.020076246694951783e-01
6.472850571119883600e-01,6.333179313297139235e-01,6.728818281272296309e-01
6.416875204003916755e-01,6.408035034272658859e-01,6.711252856054836791e-01
6.446377520185249121e-01,6.593208656738716034e-01,6.867483583569309324e-01
6.562052234498401138e-01,6.372165708038217691e-01,6.918269851078711064e-01
6.478304535858492308e-01,6.596825104019348185e-01,6.435057082539097362e-01
6.574113082416574994e-01,6.228230513634170906e-01,6.867368363831565237e-01
5.958886410619084195e-01,5.863684582743988738e-01,6.396270808399521224e-01
6.280795662123712653e-01,6.254447885047635936e-01,6.744801746558830580e-01
6.578044465873054136e-01,6.708036520688038795e-01,6.685015856416246516e-01
6.058127856689008439e-01,5.676330730287565407e-01,6.605228637602738040e-01
6.523660195560145869e-01,6.518563944362527618e-01,6.761366338921088737e-01
6.325413447938199596e-01,6.178734631704929647e-01,6.451895876400826069e-01
6.114144274451484007e-01,6.541090309043127160e-01,6.763068633243016770e-01
6.305870948464948889e-01,6.662852525142775040e-01,6.868425698938604995e-01
6.125817294882043296e-01,6.334368402713725921e-01,6.782266494496710374e-01
6.481514198155836626e-01,6.527805146534209069e-01,6.854899535901390895e-01
6.407219018605156968e-01,6.429047437710804225e-01,6.394978783592645266e-01
6.703692763189167403e-01,5.937264448835740671e-01,6.865106851101105967e-01
6.156678029865746415e-01,6.612184993786458520e-01,6.830635139448182347e-01
6.327963270409313612e-01,6.343694275348952250e-01,6.908473221422861688e-01
6.543399675198924292e-01,6.124742639314519899e-01,6.616700754924678129e-01
6.416875204003916755e-01,6.272984441301272529e-01,6.503780872592753726e-01
6.473625060267145237e-01,6.596841662082968405e-01,7.110877964973754128e-01
6.626437093827881597e-01,6.766632260167460000e-01,6.891904739268908120e-01
