reeig, coshP, expT
8.099889928453494203e-01,7.979728490185287182e-01,8.235415520088057439e-01
8.609678211741587095e-01,8.168447555883076028e-01,8.509887005649717784e-01
8.374223602484471840e-01,8.313664596273291352e-01,8.350155279503105321e-01
8.415989839756655710e-01,8.008952930477594156e-01,8.408385336636458041e-01
8.397871039553514994e-01,8.291109473717215295e-01,8.574082493298007535e-01
8.172124380847551883e-01,8.027196844615667182e-01,8.280590717299578518e-01
8.660955539179562290e-01,8.288811102923114849e-01,8.678764431343650720e-01
8.552018633540372505e-01,8.333850931677018181e-01,8.514751552795031264e-01
8.450562890024773122e-01,7.955407820878672709e-01,8.320972749223870535e-01
8.441061658331634465e-01,8.326696662329314824e-01,8.605436844498095539e-01
8.172124380847551883e-01,8.337690332049165765e-01,8.099889928453494203e-01
8.594632768361581965e-01,8.365266519282731350e-01,8.528309997543601639e-01
8.354037267080745011e-01,8.369565217391303769e-01,8.567546583850931263e-01
8.346059769826585928e-01,8.121844523189813980e-01,8.408385336636458041e-01
8.560521736403969850e-01,8.036120212582500422e-01,8.248702713719096025e-01
8.193221427261052625e-01,7.655476059438635072e-01,8.350073381031003494e-01
8.386145910095799128e-01,8.271616310488822954e-01,8.691353475804470818e-01
8.369565217391303769e-01,8.210403726708075389e-01,8.805124223602485145e-01
8.468045407507290845e-01,7.349948258020007064e-01,8.265859700837279167e-01
8.569849655885996009e-01,8.010723188110430160e-01,8.544452631413923527e-01
8.226701522656393317e-01,7.855668684645019662e-01,8.407402311502476522e-01
8.776099238516334999e-01,8.464750675509702393e-01,8.480103168754605791e-01
8.328416149068322838e-01,8.292701863354037251e-01,8.437111801242236364e-01
8.260920693656119695e-01,7.911270344005769672e-01,8.306155727680391010e-01
8.256384529763117763e-01,8.158872497530844647e-01,8.574944737956009533e-01
