reeig, coshP, expT
7.369402985074626766e-01,6.608511496571197741e-01,7.382008874546187593e-01
7.794384057971014412e-01,7.489432367149758685e-01,8.134057971014492239e-01
7.124748490945673751e-01,7.233903420523138950e-01,7.621227364185110265e-01
7.193587973615584996e-01,7.306335327504218657e-01,7.544868844914864869e-01
7.317550180133813864e-01,6.952907874420998224e-01,7.774318064848173560e-01
7.410246066962484779e-01,6.985175473981444227e-01,7.938180718031464522e-01
8.016304347826086474e-01,7.806461352657004804e-01,8.346920289855073172e-01
7.018108651911468820e-01,7.336519114688129228e-01,7.192655935613682106e-01
7.670655008436877420e-01,7.264917932198189376e-01,7.785703328731401474e-01
7.610396294390118221e-01,7.785640761708697566e-01,7.934894493051980469e-01
7.785397337636144055e-01,7.298305768455022324e-01,7.360326744655103504e-01
7.798913043478260532e-01,7.809480676328501847e-01,8.064613526570048041e-01
6.981388329979878460e-01,7.024144869215291909e-01,7.407947686116700403e-01
7.287927596257094409e-01,7.557907654548243759e-01,7.825586746433501606e-01
7.346371590324241030e-01,7.386515697375193312e-01,7.504117344312918325e-01
7.627067365873336779e-01,7.550423557886244419e-01,7.684045986284793184e-01
7.946859903381642276e-01,7.955917874396135625e-01,8.416364734299517369e-01
7.093561368209255757e-01,7.443661971830985991e-01,7.404426559356136472e-01
7.387636140512348071e-01,7.221199570486270813e-01,7.692897683693817878e-01
7.475810602161605534e-01,7.380854348944930754e-01,7.564590838908903381e-01
7.372932634126663221e-01,7.440500201694231208e-01,7.617991125453812407e-01
8.054045893719806726e-01,7.874396135265699925e-01,8.174818840579709534e-01
7.373742454728370310e-01,6.774144869215291687e-01,7.271126760563380031e-01
7.500383494400981732e-01,7.522626169657922190e-01,7.485810707163675914e-01
7.463973237261966043e-01,7.144621718991250869e-01,7.871590324240864689e-01
