reeig, expT
8.263043146545147044e-01,8.012046790582916245e-01
8.172170329599304228e-01,8.096434102113996278e-01
8.102780660537254320e-01,8.265633392958650072e-01
8.424223489286365441e-01,8.234593454659064893e-01
8.262576523822198205e-01,8.069159790613078531e-01
8.161390268944987980e-01,8.329509981663429929e-01
8.284514339340698363e-01,8.140952888162708012e-01
8.215777588877357651e-01,7.921779581023504768e-01
8.329141607435757155e-01,8.028821369991407941e-01
8.338656729660189892e-01,7.962026439535090372e-01
8.105759855583343221e-01,8.066034930002922154e-01
8.172415932658225746e-01,8.320398238896802301e-01
8.220679728609200376e-01,8.192023071346993257e-01
8.134486708844281821e-01,8.003671014605951983e-01
8.206680862390205444e-01,8.147679886434211483e-01
8.161390268944987980e-01,8.275457185789028003e-01
8.241158936202666041e-01,7.837749448685764619e-01
8.192375086700077746e-01,8.077878833707947681e-01
8.160977895805670013e-01,8.006834335702569527e-01
8.336882264217904126e-01,7.676781119687694499e-01
8.155480669013264183e-01,8.046366436575898007e-01
8.112747315817094851e-01,8.197583782959283472e-01
8.250796597706424595e-01,8.116378883250848775e-01
8.270874013902991262e-01,8.171027623734020695e-01
8.146792653713068599e-01,7.901029189956525478e-01
