reeig, expT, expP, cosh
7.637566137566137447e-01,7.779100529100528849e-01,7.775132275132274895e-01,7.730158730158730451e-01
7.847883597883598128e-01,7.966931216931216753e-01,7.887566137566137670e-01,7.496031746031746046e-01
7.278311965811965489e-01,7.684294871794872250e-01,7.727029914529914834e-01,7.585470085470085166e-01
7.819865319865320075e-01,7.655723905723905709e-01,7.770763187429854391e-01,7.821268237934904111e-01
7.193287037037037202e-01,7.569444444444444198e-01,7.679398148148148806e-01,7.326388888888888395e-01
7.662698412698413231e-01,7.682539682539683001e-01,7.732804232804233457e-01,7.644179894179894408e-01
7.548941798941799508e-01,7.695767195767195812e-01,7.720899470899471595e-01,7.539682539682539542e-01
7.686965811965811302e-01,7.916666666666667407e-01,7.737713675213675479e-01,7.494658119658119677e-01
7.605218855218854879e-01,7.682379349046015715e-01,7.664141414141414366e-01,7.683782267115599751e-01
7.465277777777777901e-01,7.552083333333333703e-01,7.569444444444444198e-01,7.314814814814815103e-01
7.600529100529100912e-01,7.708994708994708622e-01,7.880952380952381819e-01,7.694444444444443754e-01
7.604497354497354866e-01,7.747354497354497216e-01,7.712962962962963687e-01,7.775132275132274895e-01
7.787126068376069021e-01,7.864583333333332593e-01,7.924679487179486781e-01,7.783119658119657114e-01
7.853535353535353591e-01,7.741301907968574092e-01,7.784792368125701412e-01,7.668350168350168694e-01
7.546296296296296502e-01,7.679398148148147696e-01,7.690972222222222099e-01,7.447916666666667407e-01
7.588624338624339050e-01,7.544973544973545554e-01,7.666666666666666075e-01,7.797619047619047672e-01
7.728835978835979503e-01,7.787037037037036757e-01,7.824074074074074403e-01,7.342592592592591672e-01
7.632211538461538547e-01,7.751068376068375176e-01,7.869925213675212916e-01,7.686965811965811302e-01
7.535072951739618663e-01,7.901234567901234129e-01,7.828282828282828731e-01,7.648709315375981088e-01
7.447916666666667407e-01,7.280092592592593004e-01,7.210648148148148806e-01,7.251157407407406996e-01
7.473544973544973269e-01,7.628306878306878591e-01,7.746031746031745158e-01,7.580687830687831141e-01
7.833333333333333259e-01,7.775132275132274895e-01,7.805555555555555580e-01,7.519841269841269771e-01
7.598824786324785974e-01,7.632211538461538547e-01,7.620192307692308376e-01,7.497329059829059839e-01
7.467732884399551629e-01,7.791806958473624922e-01,7.693602693602693554e-01,7.596801346801347332e-01
7.569444444444444198e-01,7.690972222222223209e-01,7.656250000000000000e-01,7.482638888888888395e-01
