reeig, expT, expP, cosh
6.267806267806267373e-01,6.279950398655435029e-01,6.465084342782184690e-01,5.700055340343110899e-01
6.281656213689210677e-01,6.465817744467170503e-01,6.571700856849701511e-01,6.000920722716369671e-01
5.888641061908388430e-01,6.097065063649222960e-01,5.788271134805788032e-01,5.865724621912741243e-01
6.332557499949069690e-01,6.722316159743584318e-01,6.621347471496186188e-01,6.272460121824515733e-01
6.312347632402772746e-01,6.500417631519974648e-01,6.671850277402400220e-01,6.465207559470049770e-01
5.512256861177724510e-01,5.985519276886183127e-01,6.296706224763778392e-01,6.187614011355018206e-01
6.144261281401401931e-01,6.509356717198828690e-01,6.669379004804065758e-01,6.356231356214369077e-01
5.916249591992166490e-01,6.465360134914590606e-01,5.691369274290065672e-01,5.962830486345338521e-01
6.355161923387726564e-01,6.725346493640542711e-01,6.714583290891682488e-01,5.883473900082166752e-01
6.248115565092795531e-01,6.466794898783775336e-01,6.499560298521651625e-01,6.387470375325108307e-01
5.875709688659328522e-01,6.186025538543523661e-01,6.441308491668203962e-01,5.716145032691795080e-01
6.117370062581964918e-01,6.308819232572520086e-01,6.553439290058233890e-01,6.375325310701448478e-01
5.337762485039712068e-01,6.387498639973887560e-01,6.250476009139375178e-01,5.953582308780328569e-01
5.816848996000298921e-01,6.212379720360448054e-01,6.587674265419900532e-01,6.247232804340592249e-01
6.188679469506108699e-01,6.523404342009656576e-01,6.753067724213800416e-01,6.250331049375590364e-01
6.146364959314599696e-01,6.450224435835947290e-01,6.569411137756461239e-01,5.051087335259997202e-01
5.774918969605957741e-01,6.468229970034042875e-01,6.302941556191266059e-01,6.290693565812988108e-01
6.163162332716787262e-01,5.944742139049069563e-01,6.101757153737351613e-01,5.976974757915352043e-01
6.075887370043664415e-01,6.290132825391652194e-01,6.230162772220750877e-01,5.020049436035338708e-01
6.179393110098534425e-01,6.536603874805614334e-01,6.300676019801845218e-01,6.400041763151997909e-01
6.124023857836806695e-01,6.324325155260406284e-01,5.801973805570928011e-01,6.027690667978438110e-01
6.031820992477933130e-01,6.729973431543756490e-01,6.225937200595241805e-01,6.334300488560615783e-01
5.585627244043085415e-01,6.451895876400826069e-01,6.391986726145142406e-01,5.594127407246218819e-01
6.094213675039554801e-01,6.676801732977502013e-01,6.579287795139242556e-01,5.908641799254384930e-01
6.047796739078765693e-01,6.589639682464230042e-01,6.542774974704432811e-01,6.051293978636280713e-01
