reeig, coshP, expT
6.267806267806267373e-01,5.498626739633933891e-01,6.106499415851933676e-01
6.281656213689210677e-01,6.351848580184416004e-01,6.407040980654630236e-01
5.888641061908388430e-01,5.953922315308453062e-01,6.022399630072896581e-01
6.332557499949069690e-01,5.745971438466396242e-01,6.519784600131739438e-01
6.312347632402772746e-01,6.580489138185101616e-01,6.506648150537488462e-01
5.512256861177724510e-01,6.347691077906905122e-01,6.670407263932444097e-01
6.144261281401401931e-01,6.499436014867463474e-01,6.632091433541487113e-01
5.916249591992166490e-01,5.918289631160917885e-01,6.373422369709498270e-01
6.355161923387726564e-01,6.257121709074364713e-01,6.243489450703172405e-01
6.248115565092795531e-01,6.656469214105759091e-01,6.405296110933796916e-01
5.875709688659328522e-01,6.343745516407386376e-01,6.706737174363073262e-01
6.117370062581964918e-01,6.577340708175065664e-01,6.647567049678255735e-01
5.337762485039712068e-01,6.120049504950495489e-01,6.244287890327493429e-01
5.816848996000298921e-01,5.743441916053809715e-01,6.587674265419900532e-01
6.188679469506108699e-01,6.430608655498135651e-01,6.753067724213800416e-01
6.146364959314599696e-01,6.266166553936338701e-01,6.467492672528643016e-01
5.774918969605957741e-01,6.270002785950654633e-01,6.302941556191266059e-01
6.163162332716787262e-01,5.973574692634098238e-01,6.415583179197040797e-01
6.075887370043664415e-01,6.200954427852588546e-01,6.241537134747149329e-01
6.179393110098534425e-01,6.438078487562729491e-01,6.300676019801845218e-01
6.124023857836806695e-01,6.258839082580089919e-01,6.559572854536883657e-01
6.031820992477933130e-01,6.346990154042686516e-01,6.666593054149367870e-01
5.585627244043085415e-01,5.755222500272004771e-01,6.194034925470568442e-01
6.094213675039554801e-01,6.195708639762055325e-01,6.579287795139242556e-01
6.047796739078765693e-01,6.381469044336849361e-01,6.542698578694681188e-01
