reeig, coshP, expT
7.099132714804357036e-01,6.840964098426784989e-01,7.420835014118596362e-01
7.584541062801932743e-01,7.450181159420290466e-01,8.097826086956521063e-01
6.771126760563379587e-01,6.807344064386318117e-01,6.810362173038229106e-01
6.856879889553613161e-01,7.063966866083755125e-01,7.244976223347139310e-01
7.644879053010807946e-01,7.107308286155429311e-01,7.538600102933608049e-01
7.248386446147639939e-01,6.990722065348931036e-01,7.086526825332795099e-01
7.737016908212560606e-01,7.732487922705313377e-01,7.610205314009661492e-01
7.229879275653923187e-01,6.949698189134808635e-01,7.372233400402414816e-01
7.150636600705628787e-01,6.982666053075625712e-01,7.428286547016413888e-01
6.915594441585177776e-01,7.064848172928460679e-01,7.389346371590324036e-01
7.184348527632109516e-01,6.519261799112545663e-01,7.271581282775312349e-01
7.557367149758453806e-01,7.388285024154589431e-01,8.088768115942028825e-01
6.875754527162978302e-01,7.092052313883300263e-01,6.952716297786720734e-01
7.442859334253719705e-01,7.017947537965945060e-01,7.239607301733395062e-01
7.685023160061760228e-01,7.260422027792073907e-01,7.489449305198147000e-01
7.196954417103671453e-01,6.830879386849535440e-01,7.099132714804357036e-01
7.519625603864734664e-01,7.939311594202898004e-01,7.743055555555555802e-01
6.842052313883300041e-01,7.092555331991952094e-01,7.230382293762575019e-01
6.969627243442245712e-01,7.075471698113207086e-01,7.112287160607455583e-01
7.082346886258363838e-01,6.588780236747298069e-01,7.291559444158517422e-01
7.451089148850342792e-01,6.907018959257764656e-01,7.760185558693021290e-01
7.738526570048309683e-01,7.774758454106280858e-01,7.607185990338164450e-01
7.086016096579477175e-01,6.949195171026156803e-01,7.478370221327967915e-01
7.014112593956127739e-01,6.703482129160913683e-01,7.136063813468322969e-01
7.673700463201235111e-01,7.002058672156459274e-01,7.785640761708697566e-01
